번호,한자,후리가나,뜻,품사,등록일자
1,,じょうずだ,잘하다,형용사,230222
2,,すきだ,좋아하다,형용사,230222
3,,ふべんだ,불편하다,형용사,230222
4,,とおい,멀다,형용사,230222
5,,きれいだ,깨끗하다,형용사,230222
6,,しずかだ,조용하다,형용사,230222
7,,しんせつだ,친절하다,형용사,230222
8,,べんりだ,편리하다,형용사,230222
9,,ほんとうだ,정말이다,형용사,230222
10,,にぎやかだ,번화하다,형용사,230222
11,,きらだ,싫어하다,형용사,230222
12,,へただ,잘 못하다,형용사,230222
13,,ハンサムだ,잘생기다,형용사,230222
14,,あう,만나다,동사,230222
15,,いく,가다,동사,230222
16,,はなす,"이야기하다"", ""말하다",동사,230222
17,,まつ,기다리다,동사,230222
18,,しぬ,죽다,동사,230222
19,,あそぶ,놀다,동사,230222
20,読む,よむ,읽다,동사,230222
21,,わかる,알다,동사,230222
22,,つくる,만들다,동사,230222
23,,のる,타다,동사,230222
24,見る,みる,보다,동사,230222
25,食べる,たべる,먹다,동사,230222
26,,する,하다,동사,230222
27,,くる,오다,동사,230222
28,入る,はいる,들어오다,동사,230222
29,知る,しる,알다,동사,230222
30,帰る,かえる,돌아가다,동사,230222
31,飲む,のむ,마시다,동사,230222
32,歌う,うたう,부르다,동사,230222
33,送る,おくる,"보내다"", ""전송하다",동사,230222
34,勉強する,べんきょうする,공부하다,동사,230222
35,書く,かく,쓰다,동사,230222
36,聞く,きく,듣다,동사,230222
37,歩く,あるく,걷다,동사,230222
